142323 1872.48 2416.67 19.876  2.045 17.830  20   0 0.044  415   0 0.029
142325 2079.39 2418.42 19.857  2.239 17.618  20   0 0.056  409   0 0.030
142326 1934.82 2420.77 19.529  2.013 17.516  20   0 0.034  417   0 0.026
142327 1946.68 2421.38 20.070  2.533 17.537  20   0 0.056  414   2 0.024
142328 1854.52 2421.37 19.949  2.126 17.823  20   0 0.048  415   0 0.028
142329 1843.36 2422.36 20.097  2.397 17.701  20   1 0.065  417   0 0.036
142330 2133.52 2423.36 19.376  1.938 17.438  21   0 0.038  397   0 0.021
142331 2187.35 2423.54 19.066  1.851 17.214  18   0 0.037  350   0 0.021
142333 1931.10 2427.57 19.909  2.166 17.742  20   0 0.037  415   0 0.028
142334 1900.16 2427.95 19.863  1.965 17.899  21   0 0.066  416   1 0.034
142335 1832.74 2432.13 20.123  2.286 17.837  20   0 0.050  416   0 0.029
142336 2062.99 2435.91 19.776  2.353 17.423  19   1 0.028  411   1 0.022
142337 2131.39 2437.05 19.823  2.067 17.756  20   0 0.048  398   0 0.029
142338 1865.69 2438.94 19.343  1.882 17.461  20   0 0.023  414   2 0.022
142339 1861.17 2440.56 20.154  2.538 17.615  20   0 0.053  417   0 0.027
142340 1924.69 2444.40 19.637  1.374 18.263  21   0 0.045  417   0 0.062
142341 2096.31 2449.16 19.795  2.242 17.552  20   0 0.050  408   0 0.027
142342 2197.60 2449.71 20.383  2.568 17.816  17   0 0.095  328   1 0.037
142343 2142.49 2455.52 19.088  1.810 17.278  21   0 0.028  395   0 0.020
142344 1957.63 2456.68 20.894  2.687 18.207  19   0 0.119  415   0 0.051
142345 2159.71 2458.59 19.885  1.900 17.985  20   0 0.048  382   1 0.041
142346 1850.08 2463.69 19.552  2.341 17.211  20   0 0.033  416   1 0.018
142347 2076.33 2464.74 19.744  2.490 17.253  20   0 0.048  408   1 0.018
142350 1851.89 2469.08 19.456  1.964 17.492  20   0 0.032  416   1 0.027
142351 2010.30 2468.70 20.010  2.277 17.732  20   0 0.064  414   0 0.028
142352 1941.63 2471.08 19.733  2.441 17.292  20   0 0.056  417   0 0.021
142353 1970.39 2468.97 20.577  2.486 18.090  21   0 0.122  415   0 0.039
142354 1910.14 2470.38 19.564  1.940 17.625  20   0 0.036  415   1 0.026
142355 1946.15 2472.71 19.844  2.388 17.455  21   0 0.046  416   0 0.023
142356 2150.51 2474.16 19.898  2.768 17.130  21   0 0.105  390   0 0.051
142358 2064.33 2475.17 19.752  2.342 17.410  20   0 0.039  411   0 0.022
142359 1932.22 2479.42 19.761  2.850 16.911  20   0 0.044  416   1 0.014
142360 2131.94 2479.96 19.411  2.001 17.409  20   0 0.047  398   0 0.021
142363 2192.75 2483.76 19.871  2.433 17.438  18   0 0.055  338   1 0.027
142365 1869.47 2482.96 19.996  2.075 17.921  21   0 0.046  416   0 0.039
142366 2181.32 2485.64 20.297  2.416 17.880  19   0 0.103  360   0 0.037
142367 1882.59 2487.39 20.677  2.796 17.881  20   0 0.083  417   0 0.033
142368 1824.64 2493.16 20.318  2.451 17.867  20   0 0.044  415   1 0.033
142369 1827.52 2489.41 20.044  2.460 17.584  20   0 0.053  416   1 0.028
142372 2060.52 2493.83 20.212  2.353 17.859  20   0 0.056  410   0 0.034
142373 1890.36 2496.48 19.445  1.971 17.474  21   0 0.041  415   1 0.021
142374 1862.15 2496.50 19.494  1.879 17.615  21   0 0.032  414   3 0.047
142376 1776.83 2496.71 20.119  2.235 17.883  20   0 0.070  416   0 0.033
142377 1974.63 2498.55 19.692  1.713 17.979  21   0 0.048  416   0 0.038
142378 1899.65 2500.55 19.114  1.904 17.210  21   0 0.030  417   0 0.018
142379 1954.18 2499.79 19.606  2.304 17.301  20   0 0.031  415   1 0.020
142380 1949.08 2501.18 20.084  2.369 17.715  20   0 0.044  415   0 0.027
